Car_Name,Brand,Model,Vehicle_Age,KM_Driven,No_Of_Owners,Fuel_Type,Transmission_Type,Mileage,Engine_CC,Max_Power,No_Of_Seats,Price,Location
Maruti Swift Dzire,Maruti,Swift Dzire,13,96567.0,2,Petrol,Manual,22.41,1197.0,88.5,5,13.010316110729669,bangalore
Maruti Celerio,Maruti,Celerio,11,120000.0,3,Petrol,Manual,23.1,998.0,67.04,5,12.899222326086994,bangalore
Maruti Ertiga,Maruti,Ertiga,12,83007.0,2,Diesel,Manual,20.77,1248.0,88.8,7,13.574713343675166,bangalore
Honda Jazz,Honda,Jazz,8,34000.0,1,Petrol,Manual,18.7,1199.0,88.7,5,13.521140839642674,bangalore
Hyundai Grand i10,Hyundai,Grand i10,12,81634.0,1,Petrol,Automatic,18.9,1197.0,82.0,5,13.102162710901053,bangalore
Honda City,Honda,City,9,57284.0,2,Petrol,Automatic,18.0,1497.0,117.6,5,13.755761615129062,bangalore
Ford Ecosport,Ford,Ecosport,10,70000.0,2,Petrol,Automatic,15.63,1499.0,110.4,5,13.42246945133505,bangalore
Honda Brio,Honda,Brio,13,70000.0,2,Petrol,Manual,19.4,1198.0,86.8,5,12.706850963741102,bangalore
Toyota Yaris,Toyota,Yaris,8,46429.0,2,Petrol,Automatic,17.8,1496.0,105.5,5,13.681980308196241,bangalore
Maruti Baleno,Maruti,Baleno,9,17624.0,1,Petrol,Manual,21.4,1197.0,83.1,5,13.675099554994853,bangalore
Volkswagen Vento,Volkswagen,Vento,14,100000.0,2,Diesel,Manual,20.54,1598.0,103.6,5,12.959846800844963,bangalore
Honda City,Honda,City,7,30000.0,1,Petrol,Manual,17.4,1497.0,117.6,5,13.883170141017091,bangalore
Ford Ecosport,Ford,Ecosport,8,49690.0,2,Petrol,Manual,15.9,1496.0,120.69,5,13.840204146163925,bangalore
Mahindra XUV500,Mahindra,XUV500,10,110000.0,1,Diesel,Manual,16.0,1949.5,140.0,7,13.815511557963774,bangalore
Fiat Linea,Fiat,Linea,17,50000.0,1,Petrol,Manual,16.0,1368.0,90.0,5,12.834683971615659,bangalore
Fiat Linea,Fiat,Linea,17,50000.0,1,Petrol,Manual,16.0,1368.0,90.0,5,12.834683971615659,bangalore
Ford Ecosport,Ford,Ecosport,8,55702.0,1,Petrol,Automatic,14.8,1497.0,121.36,5,13.645908958411516,bangalore
Hyundai i20 Active,Hyundai,i20 Active,10,45046.0,1,Diesel,Manual,21.19,1396.0,88.73,5,13.546324377048325,bangalore
Maruti Ritz,Maruti,Ritz,12,53000.0,2,Petrol,Manual,18.5,1197.0,85.8,5,12.948012371209098,bangalore
Maruti Baleno,Maruti,Baleno,10,94695.0,1,Diesel,Manual,27.39,1248.0,74.0,5,13.435714658591923,bangalore
Maruti Baleno,Maruti,Baleno,7,22162.0,1,Petrol,Manual,21.4,1197.0,83.1,5,13.596109992928898,bangalore
Hyundai Santro Xing,Hyundai,Santro Xing,16,70000.0,2,Petrol,Manual,17.92,1086.0,62.1,5,12.676079399771027,bangalore
Honda City,Honda,City,9,115331.0,1,Diesel,Manual,26.0,1498.0,98.6,5,13.597354548161103,bangalore
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,13,70000.0,2,Diesel,Automatic,10.25,1949.5,170.0,5,14.151983508870947,bangalore
Maruti Swift,Maruti,Swift,10,42233.0,2,Petrol,Manual,22.38,1197.0,88.5,5,13.214032390746006,bangalore
Hyundai Grand i10,Hyundai,Grand i10,7,20941.0,1,Petrol,Manual,18.9,1197.0,81.86,5,13.335862167174314,bangalore
Maruti Vitara Brezza,Maruti,Vitara Brezza,8,50000.0,2,Diesel,Manual,24.3,1248.0,88.5,5,13.815511557963774,bangalore
Honda WR-V,Honda,WR-V,8,46602.0,1,Petrol,Manual,17.5,1199.0,88.7,5,13.670485941982712,bangalore
Mahindra Ssangyong Rexton,Mahindra,Ssangyong Rexton,12,50000.0,2,Diesel,Automatic,11.18,1949.5,180.02499999999998,7,13.815511557963774,bangalore
Maruti Swift,Maruti,Swift,12,104000.0,2,Diesel,Manual,25.2,1248.0,74.0,5,13.190023895035274,bangalore
Ford Ecosport,Ford,Ecosport,8,90000.0,1,Diesel,Manual,23.0,1498.0,98.96,5,13.790193775620484,bangalore
